title,description,property_type,location,price_current,price_5_10_years_ago,legal_status,building_quality,previous_owners,furniture,area,frontage,road_width,bedrooms,bathrooms,toilets,stories,house_direction,balcony_direction,phone,email
"Bán Trang trại diện tích 91m2 chính chủ, vị trí đẹp tại Quận 7, TP.HCM","Cần bán gấp Trang trại, diện tích 91m2, mặt tiền 5.2m, đường vào rộng 18.4m. Nhà hướng Đông, ban công Tây. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Mới xây. Đầy đủ tiện ích xung quanh.",Trang trại,"Quận 7, TP.HCM",10288000000.0,6256000000.0,Sổ đỏ/Sổ hồng,Mới xây,1,Nội thất cơ bản,91,5.2,18.4,2,3,3,5,Đông,Tây,0970781695,chubatdongsan1@gmail.com
"Bán Biệt thự diện tích 113m2 chính chủ, vị trí đẹp tại Thành phố Thủ Đức, TP.HCM","Cần bán gấp Biệt thự, diện tích 113m2, mặt tiền 13.3m, đường vào rộng 5.2m. Nhà hướng Bắc, ban công Tây Nam. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Trung bình. Đầy đủ tiện ích xung quanh.",Biệt thự,"Thành phố Thủ Đức, TP.HCM",12424000000.0,6243000000.0,Sổ đỏ/Sổ hồng,Trung bình,3,Không nội thất,113,13.3,5.2,2,4,4,3,Bắc,Tây Nam,0933862973,chubatdongsan2@gmail.com
"Bán Khu nghỉ dưỡng diện tích 246m2 chính chủ, vị trí đẹp tại Quận Đống Đa, Hà Nội","Cần bán gấp Khu nghỉ dưỡng, diện tích 246m2, mặt tiền 14.4m, đường vào rộng 6.3m. Nhà hướng Tây Bắc, ban công Bắc. Pháp lý: Đang chờ sổ, chất lượng Còn mới (80-90%). Đầy đủ tiện ích xung quanh.",Khu nghỉ dưỡng,"Quận Đống Đa, Hà Nội",25550000000.0,14640000000.0,Đang chờ sổ,Còn mới (80-90%),3,Nội thất cơ bản,246,14.4,6.3,5,3,3,3,Tây Bắc,Bắc,0916785932,chubatdongsan3@gmail.com
"Bán Nhà mặt phố diện tích 216m2 chính chủ, vị trí đẹp tại Thành phố Thủ Đức, TP.HCM","Cần bán gấp Nhà mặt phố, diện tích 216m2, mặt tiền 7.5m, đường vào rộng 19.5m. Nhà hướng Tây Bắc, ban công Tây. Pháp lý: Đang chờ sổ, chất lượng Còn mới (80-90%). Đầy đủ tiện ích xung quanh.",Nhà mặt phố,"Thành phố Thủ Đức, TP.HCM",11009000000.0,6307000000.0,Đang chờ sổ,Còn mới (80-90%),2,Nội thất cơ bản,216,7.5,19.5,5,3,3,2,Tây Bắc,Tây,0946132737,chubatdongsan4@gmail.com
"Bán Trang trại diện tích 48m2 chính chủ, vị trí đẹp tại Quận Cầu Giấy, Hà Nội","Cần bán gấp Trang trại, diện tích 48m2, mặt tiền 6.2m, đường vào rộng 5.3m. Nhà hướng Đông Bắc, ban công Bắc. Pháp lý: Giấy tờ viết tay, chất lượng Còn mới (80-90%). Đầy đủ tiện ích xung quanh.",Trang trại,"Quận Cầu Giấy, Hà Nội",4793000000.0,2374000000.0,Giấy tờ viết tay,Còn mới (80-90%),3,Nội thất đầy đủ / Cao cấp,48,6.2,5.3,4,4,4,2,Đông Bắc,Bắc,0961587598,chubatdongsan5@gmail.com
"Bán Xưởng diện tích 206m2 chính chủ, vị trí đẹp tại Quận Nam Từ Liêm, Hà Nội","Cần bán gấp Xưởng, diện tích 206m2, mặt tiền 10.7m, đường vào rộng 17.4m. Nhà hướng Đông, ban công Nam. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Còn mới (80-90%). Đầy đủ tiện ích xung quanh.",Xưởng,"Quận Nam Từ Liêm, Hà Nội",22990000000.0,12669000000.0,Sổ đỏ/Sổ hồng,Còn mới (80-90%),1,Nội thất cơ bản,206,10.7,17.4,3,4,4,5,Đông,Nam,0935054520,chubatdongsan6@gmail.com
"Bán Nhà riêng diện tích 129m2 chính chủ, vị trí đẹp tại TP. Bắc Ninh","Cần bán gấp Nhà riêng, diện tích 129m2, mặt tiền 7.9m, đường vào rộng 10.9m. Nhà hướng Tây, ban công Đông Bắc. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Còn mới (80-90%). Đầy đủ tiện ích xung quanh.",Nhà riêng,TP. Bắc Ninh,11918000000.0,7449000000.0,Sổ đỏ/Sổ hồng,Còn mới (80-90%),3,Nội thất cơ bản,129,7.9,10.9,2,4,4,4,Tây,Đông Bắc,0989324705,chubatdongsan7@gmail.com
"Bán Trang trại diện tích 262m2 chính chủ, vị trí đẹp tại Quận Cầu Giấy, Hà Nội","Cần bán gấp Trang trại, diện tích 262m2, mặt tiền 3.3m, đường vào rộng 6.5m. Nhà hướng Tây Nam, ban công Đông Nam. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Mới xây. Đầy đủ tiện ích xung quanh.",Trang trại,"Quận Cầu Giấy, Hà Nội",24429000000.0,15281000000.0,Sổ đỏ/Sổ hồng,Mới xây,1,Nội thất đầy đủ / Cao cấp,262,3.3,6.5,3,2,2,2,Tây Nam,Đông Nam,0939697894,chubatdongsan8@gmail.com
"Bán Khu nghỉ dưỡng diện tích 105m2 chính chủ, vị trí đẹp tại TP. Bắc Ninh","Cần bán gấp Khu nghỉ dưỡng, diện tích 105m2, mặt tiền 4.9m, đường vào rộng 17.7m. Nhà hướng Đông Nam, ban công Bắc. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Mới xây. Đầy đủ tiện ích xung quanh.",Khu nghỉ dưỡng,TP. Bắc Ninh,8250000000.0,4099000000.0,Sổ đỏ/Sổ hồng,Mới xây,2,Nội thất đầy đủ / Cao cấp,105,4.9,17.7,4,4,4,1,Đông Nam,Bắc,0919939139,chubatdongsan9@gmail.com
"Bán Nhà mặt phố diện tích 294m2 chính chủ, vị trí đẹp tại Quận Cầu Giấy, Hà Nội","Cần bán gấp Nhà mặt phố, diện tích 294m2, mặt tiền 11.6m, đường vào rộng 10.0m. Nhà hướng Đông Nam, ban công Tây. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Mới xây. Đầy đủ tiện ích xung quanh.",Nhà mặt phố,"Quận Cầu Giấy, Hà Nội",24795000000.0,12284000000.0,Sổ đỏ/Sổ hồng,Mới xây,2,Nội thất đầy đủ / Cao cấp,294,11.6,10.0,5,1,1,3,Đông Nam,Tây,0922664860,chubatdongsan10@gmail.com
